Location name,ID,Street address,Street address 2,ZIP code,City,State/Province/Region,Country code,Phone number,Website
Corporate Office,EP001,"Kashbarajpara, Monmath","Bamonraja, Sundarpur",5600,Gaibandha,Rangpur,BGD,+880-1770-584994,easy-premium.com
Support Center,EP002,"Kashbarajpara, Monmath","5th Floor, Bamonraja, Sundarpur",5600,Gaibandha,Rangpur,BGD,+880-1321-782961,easy-premium.com
